日期,Close,Open,High,Low,Volume,rate
2019年12月31日,212.1,211.34,213.6,210.82,6.78M,-0.38%
2019年12月30日,212.91,214.33,214.4,211.76,8.75M,-1.19%
2019年12月27日,215.47,218.02,218.02,215.18,11.68M,-0.42%
2019年12月26日,216.38,214.65,216.99,214.33,6.92M,0.99%
2019年12月24日,214.26,215.01,215.43,213.35,5.52M,-0.27%
2019年12月23日,214.83,213.25,215.05,212.91,12.54M,1.22%
2019年12月20日,212.25,211.35,213.98,210.42,26.67M,1.01%
2019年12月19日,210.13,209.61,211.37,209.23,12.17M,0.06%
2019年12月18日,210,208.53,210.05,208.04,13.50M,0.87%
2019年12月17日,208.18,208.69,208.87,206.82,11.30M,0.58%
2019年12月16日,206.97,206.33,209.15,206.19,16.74M,1.01%
2019年12月13日,204.91,205.76,207.1,203.77,19.28M,0.20%
2019年12月12日,204.5,203.71,206,202,22.49M,-0.07%
2019年12月11日,204.64,201.1,204.8,200.72,11.77M,2.09%
2019年12月10日,200.45,200.71,202.48,199.23,11.64M,0.86%
2019年12月9日,198.74,200.32,203.43,198.55,14.34M,-1.56%
2019年12月6日,201.89,201.11,202,199.51,14.10M,0.94%
2019年12月5日,200,196.93,200.94,196.43,22.31M,3.23%
2019年12月4日,193.74,195.53,196.66,193.23,14.86M,-0.60%
2019年12月3日,194.9,190.97,195,189.85,18.44M,-0.72%
2019年12月2日,196.31,198.58,198.67,193.51,19.41M,-1.85%
2019年11月29日,200,199.81,200.43,198.35,18.59M,-0.41%
2019年11月27日,200.82,197.24,200.98,197,33.13M,3.14%
2019年11月26日,194.7,190.39,195,189.04,51.89M,2.23%
2019年11月25日,190.45,188.32,190.72,187.88,19.19M,1.96%
2019年11月22日,186.78,185.8,186.78,183.94,10.54M,1.04%
2019年11月21日,184.86,181.77,184.89,181.6,10.25M,1.38%
2019年11月20日,182.35,183.67,183.7,181.06,16.69M,-1.57%
2019年11月19日,185.25,186.31,186.71,183.87,13.46M,0.35%
2019年11月18日,184.61,186.98,186.98,184.16,11.83M,-0.47%
2019年11月15日,185.49,184,185.6,183.71,11.31M,1.47%
2019年11月14日,182.8,182.87,184.5,181.32,12.75M,0.18%
2019年11月13日,182.48,185.47,185.67,181,15.43M,-2.40%
2019年11月12日,186.97,185.91,187.65,185.14,11.80M,0.14%
2019年11月11日,186.71,184.82,187.2,181.37,20.57M,-0.24%
2019年11月8日,187.16,187.9,188.28,185.15,19.74M,0.27%
2019年11月7日,186.66,187.07,188.07,184.69,20.16M,1.36%
2019年11月6日,184.16,183.61,185,182.2,14.83M,1.19%
2019年11月5日,182,181.42,183.2,180.31,23.69M,1.29%
2019年11月4日,179.69,180.66,182.4,178.02,44.54M,1.83%
2019年11月1日,176.46,179.01,182.12,176.06,28.92M,-0.12%
2019年10月31日,176.67,179.16,179.24,175.5,15.12M,-0.48%
2019年10月30日,177.53,175.42,177.88,173.94,10.21M,0.36%
2019年10月29日,176.89,177.06,177.74,175.44,8.03M,-1.00%
2019年10月28日,178.68,176.5,179.64,176.41,11.74M,2.51%
2019年10月25日,174.31,171.56,175.81,170.88,9.89M,1.02%
2019年10月24日,172.55,171.28,172.75,170.21,7.44M,1.55%
2019年10月23日,169.92,170.45,171.04,168.12,8.91M,0.02%
2019年10月22日,169.89,174.53,175.36,169.26,10.92M,-2.09%
2019年10月21日,173.52,172.64,173.91,170.87,9.06M,2.60%
2019年10月18日,169.13,176,176.23,169,14.59M,-4.37%
2019年10月17日,176.85,178,178.59,175.23,8.03M,-0.15%
2019年10月16日,177.12,175.8,177.35,174.12,10.90M,1.04%
2019年10月15日,175.29,172.91,176.75,172.69,13.81M,2.41%
2019年10月14日,171.16,172.84,173.34,170.79,7.86M,-1.03%
2019年10月11日,172.94,170.77,174.88,169.57,19.37M,4.14%
2019年10月10日,166.07,165.96,168.57,164.09,11.54M,0.53%
2019年10月9日,165.19,165.5,166.58,163.42,11.19M,2.01%
2019年10月8日,161.93,164.3,165.22,161.68,15.94M,-3.80%
2019年10月7日,168.32,168.83,172.3,167.21,12.03M,-1.19%
2019年10月4日,170.34,169.6,170.7,167.56,8.86M,0.51%
2019年10月3日,169.48,166.65,170.18,165,10.39M,2.24%
2019年10月2日,165.77,162.82,166.88,161.9,11.60M,0.38%
2019年10月1日,165.15,168.01,168.23,163.64,14.19M,-1.24%
2019年9月30日,167.23,169.89,170.2,166.45,14.95M,0.75%
2019年9月27日,165.98,176,176.5,163.15,33.31M,-5.15%
2019年9月26日,175,177,178.23,174.83,10.00M,-0.94%
2019年9月25日,176.66,172.3,176.99,171.72,11.84M,2.98%
2019年9月24日,171.55,179.17,179.49,171.3,14.55M,-3.07%
2019年9月23日,176.98,181.25,181.33,176.8,14.15M,-3.03%
2019年9月20日,182.51,182.31,183.82,178.84,24.82M,1.14%
2019年9月19日,180.46,180.9,184.13,180.43,15.16M,0.26%
2019年9月18日,180,179.15,180.17,177.58,9.29M,0.56%
2019年9月17日,179,176.85,179.12,176.05,7.57M,1.09%
2019年9月16日,177.07,177.75,179.17,175.37,10.73M,-1.17%
2019年9月13日,179.17,179.74,180.18,178.61,9.48M,0.52%
2019年9月12日,178.24,177.89,180.5,177,12.51M,1.22%
2019年9月11日,176.09,176,176.66,174.15,7.04M,0.63%
2019年9月10日,174.99,176.28,176.3,172.22,9.83M,-1.57%
2019年9月9日,177.78,177.88,177.99,175.86,6.93M,0.62%
2019年9月6日,176.69,179.01,179.22,176.21,8.30M,-1.26%
2019年9月5日,178.94,176.88,178.95,176.52,11.17M,2.64%
2019年9月4日,174.33,176.26,176.55,173.99,7.22M,1.11%
2019年9月3日,172.41,173,174.72,172.15,8.51M,-1.50%
2019年8月30日,175.03,174.35,175.25,172.66,10.30M,1.28%
2019年8月29日,172.81,171,173.96,170.95,11.58M,3.18%
2019年8月28日,167.48,164.64,168,164.2,9.51M,0.77%
2019年8月27日,166.2,167.2,168.19,165.19,12.78M,0.18%
2019年8月26日,165.9,166.49,167.45,165.53,8.65M,0.83%
2019年8月23日,164.54,169.69,171.49,163.83,20.91M,-4.29%
2019年8月22日,171.91,174.1,174.98,170.5,11.58M,-1.90%
2019年8月21日,175.24,177.22,178.5,174.89,10.63M,-1.11%
2019年8月20日,177.21,175.91,177.99,175.62,10.34M,-0.60%
2019年8月19日,178.28,177.43,178.8,175.59,16.01M,2.11%
2019年8月16日,174.6,170,177.55,168.57,25.95M,4.57%
2019年8月15日,166.97,170.11,171,164.36,36.34M,3.03%
2019年8月14日,162.06,161.34,163,159.21,20.80M,-1.20%
2019年8月13日,164.03,160.64,167.36,159.57,23.25M,2.96%
2019年8月12日,159.31,157.5,159.38,155.54,14.42M,0.12%
2019年8月9日,159.12,160.98,161.99,159.11,11.89M,-1.91%
2019年8月8日,162.22,161.71,162.3,159.12,19.27M,1.92%
2019年8月7日,159.17,155.73,159.48,155.3,17.92M,1.11%
2019年8月6日,157.43,158.48,158.73,156.11,25.00M,2.45%
2019年8月5日,153.67,155.03,157.23,151.85,28.91M,-4.55%
2019年8月2日,161,162.56,163.85,160.35,27.10M,-2.81%
2019年8月1日,165.65,174.54,175.71,162.1,32.73M,-4.31%
2019年7月31日,173.11,173.71,174.89,170.09,14.63M,-0.57%
2019年7月30日,174.1,174.25,175.71,172.89,14.30M,-1.65%
2019年7月29日,177.02,178.43,179.88,175.35,15.13M,-0.96%
2019年7月26日,178.74,178.25,179.4,176.88,15.28M,0.82%
2019年7月25日,177.29,178.49,179.15,175.37,14.05M,-0.77%
2019年7月24日,178.67,178,178.96,176.94,14.93M,0.33%
2019年7月23日,178.09,175.39,178.64,174.84,20.88M,2.35%
2019年7月22日,174,173.5,174.28,171.44,18.50M,0.58%
2019年7月19日,172.99,174.87,175.15,172.99,13.65M,0.11%
2019年7月18日,172.8,173.41,174.4,172.06,15.61M,-1.16%
2019年7月17日,174.82,172.75,176.22,172.49,15.03M,0.36%
2019年7月16日,174.19,174.2,175.52,173.46,19.04M,0.40%
2019年7月15日,173.5,171.5,173.75,170.42,22.20M,2.62%
2019年7月12日,169.07,168,170.2,167.65,18.10M,1.51%
2019年7月11日,166.55,167.56,168.42,165,14.80M,-0.23%
2019年7月10日,166.93,171.24,171.37,166.86,16.68M,-1.11%
2019年7月9日,168.8,167.09,168.98,166.5,15.78M,0.21%
